trim,educ,posicao_inicial,posicao_final,transition
2014_1,1,1,3,0.06756959111653874
2014_1,1,2,3,0.15183635268982892
2014_1,1,3,3,0.9256733061922026
2014_2,1,1,1,0.8242537126865351
2014_2,1,2,1,0.10913214087648174
2014_2,1,3,1,0.017110110147891978
2014_2,1,1,2,0.11368916318914124
2014_2,1,2,2,0.7431210587018147
2014_2,1,3,2,0.05162113225744452
2014_2,1,1,3,0.06205712412432366
2014_2,1,2,3,0.1477468004217036
2014_2,1,3,3,0.9312687575946635
2014_3,1,1,1,0.8317476050050726
2014_3,1,2,1,0.11133233912721159
2014_3,1,3,1,0.01662782475978232
2014_3,1,1,2,0.106866371022033
2014_3,1,2,2,0.7417777431777756
2014_3,1,3,2,0.05207833293554729
2014_3,1,1,3,0.061386023972894437
2014_3,1,2,3,0.1468899176950128
2014_3,1,3,3,0.9312938423046704
2014_4,1,1,1,0.818713349842641
2014_4,1,2,1,0.10952498291926267
2014_4,1,3,1,0.013895469558838096
2014_4,1,1,2,0.11026375129962211
2014_4,1,2,2,0.7287597314998728
2014_4,1,3,2,0.04958827770763628
2014_4,1,1,3,0.07102289885773688
2014_4,1,2,3,0.16171528558086448
2014_4,1,3,3,0.9365162527335256
2015_1,1,1,1,0.8278712017939375
2015_1,1,2,1,0.10764170091549348
2015_1,1,3,1,0.016554061639191518
2015_1,1,1,2,0.10682487695556586
2015_1,1,2,2,0.7336817532307939
2015_1,1,3,2,0.05132677822080083
2015_1,1,1,3,0.06530392125049662
2015_1,1,2,3,0.15867654585371263
2015_1,1,3,3,0.9321191601400076
2015_2,1,1,1,0.8288777659886464
2015_2,1,2,1,0.10159128744595206
2015_2,1,3,1,0.01453421849165234
2015_2,1,1,2,0.10703334162380994
2015_2,1,2,2,0.7433457210865935
2015_2,1,3,2,0.048444533489780624
2015_2,1,1,3,0.0640888923875437
2015_2,1,2,3,0.15506299146745448
2015_2,1,3,3,0.937021248018567
2015_3,1,1,1,0.8106639936557798
2015_3,1,2,1,0.11767415266579496
2015_3,1,3,1,0.015398111210126908
2015_3,1,1,2,0.11591611827815557
2015_3,1,2,2,0.7016866681957654
2015_3,1,3,2,0.052420102231416396
2015_3,1,1,3,0.07341988806606459
2015_3,1,2,3,0.1806391791384396
2015_3,1,3,3,0.9321817865584567
2015_4,1,1,1,0.8036482498325384
2015_4,1,2,1,0.11161608515992179
2015_4,1,3,1,0.014427626494607448
2015_4,1,1,2,0.12397109306227455
2015_4,1,2,2,0.7058166242957951
2015_4,1,3,2,0.050082271941810697
2015_4,1,1,3,0.0723806571051871
2015_4,1,2,3,0.18256729054428317
2015_4,1,3,3,0.9354901015635818
2016_1,1,1,1,0.8107184237595046
2016_1,1,2,1,0.12031285645118983
2016_1,1,3,1,0.015452829793221002
2016_1,1,1,2,0.11912535472266265
2016_1,1,2,2,0.6947970915441077
2016_1,1,3,2,0.05662875845122698
2016_1,1,1,3,0.07015622151783267
2016_1,1,2,3,0.18489005200470246
2016_1,1,3,3,0.927918411755552
2016_2,1,1,1,0.8143067383909595
2016_2,1,2,1,0.11270440269223671
