trim,educ,posicao_inicial,posicao_final,transition
2013_1,1,2,2,0.7470246674628341
2013_1,1,3,2,0.1361858090021826
2013_1,1,4,2,0.026191162541695838
2013_1,1,1,3,0.009611711312479943
2013_1,1,2,3,0.0526428385874299
2013_1,1,3,3,0.9205849543863939
2013_1,1,4,3,0.017160495713696308
2013_1,1,1,4,0.1
2013_1,1,2,4,0.2616883116883117
2013_1,1,3,4,0.36493506493506495
2013_1,1,4,4,0.2733766233766234
2013_2,1,1,1,0.8113099771515613
2013_2,1,2,1,0.12693577050012694
2013_2,1,3,1,0.04626808834729627
2013_2,1,4,1,0.015486164001015486
2013_2,1,1,2,0.09399778152089068
2013_2,1,2,2,0.7373567232241897
2013_2,1,3,2,0.14428330799884967
2013_2,1,4,2,0.024362187256070006
2013_2,1,1,3,0.009577430311189988
2013_2,1,2,3,0.05299715430984364
2013_2,1,3,3,0.922493191762798
2013_2,1,4,3,0.014932223616168416
2013_2,1,1,4,0.10065494657014823
2013_2,1,2,4,0.25301620130989316
2013_2,1,3,4,0.37228541882109617
2013_2,1,4,4,0.27404343329886244
2013_3,1,1,1,0.8126453397020929
2013_3,1,2,1,0.12632769781911884
2013_3,1,3,1,0.047765696687826036
2013_3,1,4,1,0.013261265790962228
2013_3,1,1,2,0.093065542606827
2013_3,1,2,2,0.753492024134226
2013_3,1,3,2,0.13191172824200348
2013_3,1,4,2,0.021530705016943548
2013_3,1,1,3,0.00948975791433892
2013_3,1,2,3,0.05246927374301676
2013_3,1,3,3,0.9244543761638734
2013_3,1,4,3,0.01358659217877095
2013_3,1,1,4,0.09472468232576049
2013_3,1,2,4,0.2653061224489796
2013_3,1,3,4,0.36888717751251443
2013_3,1,4,4,0.2710820177127455
2013_4,1,1,1,0.8065386546184738
2013_4,1,2,1,0.12462349397590361
2013_4,1,3,1,0.05277359437751004
2013_4,1,4,1,0.01606425702811245
2013_4,1,1,2,0.09404791511232695
2013_4,1,2,2,0.735430655724115
2013_4,1,3,2,0.14275055956229793
2013_4,1,4,2,0.027770869601260052
2013_4,1,1,3,0.00934291739137127
2013_4,1,2,3,0.051178254244331915
2013_4,1,3,3,0.9234711939540396
2013_4,1,4,3,0.0160076344102572
2013_4,1,1,4,0.09040274207369323
2013_4,1,2,4,0.2493573264781491
2013_4,1,3,4,0.38431876606683807
2013_4,1,4,4,0.2759211653813196
2014_1,1,1,1,0.8040900821780315
2014_1,1,2,1,0.12784643372435858
2014_1,1,3,1,0.05263157894736842
2014_1,1,4,1,0.015431905150241516
2014_1,1,1,2,0.09245599329421626
2014_1,1,2,2,0.7476948868398994
2014_1,1,3,2,0.13449287510477786
2014_1,1,4,2,0.025356244761106456
2014_1,1,1,3,0.009009280462817886
2014_1,1,2,3,0.051102808243943594
2014_1,1,3,3,0.925439918042666
2014_1,1,4,3,0.014447993250572496
2014_1,1,1,4,0.11335403726708075
2014_1,1,2,4,0.26009316770186336
2014_1,1,3,4,0.36141304347826086
2014_1,1,4,4,0.265139751552795
2014_2,1,1,1,0.8139302862131321
2014_2,1,2,1,0.12346448837064289
2014_2,1,3,1,0.0460809378312652
2014_2,1,4,1,0.01652428758495978
2014_2,1,1,2,0.09231917717319177
2014_2,1,2,2,0.7561380225613802
2014_2,1,3,2,0.12835932315859322
2014_2,1,4,2,0.02318347710683477
2014_2,1,1,3,0.00855547944207197
2014_2,1,2,3,0.0471352990045328
2014_2,1,3,3,0.9298363236215768
2014_2,1,4,3,0.014472897931818513
