trim,educ,posicao_inicial,posicao_final,transition
2017_3,1,2,2,0.9023585362666171
2017_4,1,1,1,0.848130253391475
2017_4,1,1,2,0.151869746608525
2017_4,1,2,1,0.09185746474115315
2017_4,1,2,2,0.9081425352588468
2018_1,1,1,1,0.8506571400350921
2018_1,1,1,2,0.1493428599649079
2018_1,1,2,1,0.09764914582261282
2018_1,1,2,2,0.9023508541773871
2018_2,1,1,1,0.8644595229218717
2018_2,1,1,2,0.1355404770781283
2018_2,1,2,1,0.10069476290888658
2018_2,1,2,2,0.8993052370911134
2018_3,1,1,1,0.8572169774289033
2018_3,1,1,2,0.14278302257109665
2018_3,1,2,1,0.0937322044067943
2018_3,1,2,2,0.9062677955932057
2018_4,1,1,1,0.8465886981467265
2018_4,1,1,2,0.15341130185327342
2018_4,1,2,1,0.08730897779211391
2018_4,1,2,2,0.9126910222078861
2019_1,1,1,1,0.8590413583954646
2019_1,1,1,2,0.14095864160453542
2019_1,1,2,1,0.10057482690769264
2019_1,1,2,2,0.8994251730923074
2019_2,1,1,1,0.8570948302008103
2019_2,1,1,2,0.14290516979918966
2019_2,1,2,1,0.09594162807791314
2019_2,1,2,2,0.9040583719220868
2019_3,1,1,1,0.8605777987746892
2019_3,1,1,2,0.13942220122531074
2019_3,1,2,1,0.08667651943964745
2019_3,1,2,2,0.9133234805603525
2019_4,1,1,1,0.8413177480190408
2019_4,1,1,2,0.15868225198095917
2019_4,1,2,1,0.08161430989006314
2019_4,1,2,2,0.9183856901099369
2020_1,1,1,1,0.8226898909664475
2020_1,1,1,2,0.17731010903355246
2020_1,1,2,1,0.03270957967202925
2020_1,1,2,2,0.9672904203279707
2020_2,1,1,1,0.8710859107646594
2020_2,1,1,2,0.12891408923534067
2020_2,1,2,1,0.05341652367876275
2020_2,1,2,2,0.9465834763212373
2020_3,1,1,1,0.9233733294558912
2020_3,1,1,2,0.07662667054410878
2020_3,1,2,1,0.051073969033782966
2020_3,1,2,2,0.9489260309662171
2020_4,1,1,1,0.9108200009795111
2020_4,1,1,2,0.08917999902048887
2020_4,1,2,1,0.03655200396790738
2020_4,1,2,2,0.9634479960320926
2021_1,1,1,1,0.9179177958643004
2021_1,1,1,2,0.08208220413569955
2021_1,1,2,1,0.04270597350093547
2021_1,1,2,2,0.9572940264990645
2021_2,1,1,1,0.9289963653925465
2021_2,1,1,2,0.07100363460745353
2021_2,1,2,1,0.05289290434225296
2021_2,1,2,2,0.9471070956577471
2021_3,1,1,1,0.9184907142119109
2021_3,1,1,2,0.08150928578808912
2021_3,1,2,1,0.050701446288677676
2021_3,1,2,2,0.9492985537113223
2021_4,1,1,1,0.820007556956226
2021_4,1,1,2,0.17999244304377404
2021_4,1,2,1,0.08898964621698131
2021_4,1,2,2,0.9110103537830186
2012_1,2,1,1,0.8799174557056969
2012_1,2,1,2,0.12008254429430314
2012_1,2,2,1,0.1455782553755464
2012_1,2,2,2,0.8544217446244536
2012_2,2,1,1,0.8878823404309576
2012_2,2,1,2,0.11211765956904242
2012_2,2,2,1,0.13776093649816945
2012_2,2,2,2,0.8622390635018305
2012_3,2,1,1,0.8903408023950823
2012_3,2,1,2,0.1096591976049177
2012_3,2,2,1,0.13797531631899676
2012_3,2,2,2,0.8620246836810033
2012_4,2,1,1,0.8750599832710912
2012_4,2,1,2,0.12494001672890881
2012_4,2,2,1,0.13496210544323606
2012_4,2,2,2,0.8650378945567639
2013_1,2,1,1,0.8788868160893588
2013_1,2,1,2,0.12111318391064115
2013_1,2,2,1,0.14260654875201775
2013_1,2,2,2,0.8573934512479823
2013_2,2,1,1,0.8792351606498982
2013_2,2,1,2,0.1207648393501019
2013_2,2,2,1,0.14208853416523023
2013_2,2,2,2,0.8579114658347697
2013_3,2,1,1,0.8855847638822398
2013_3,2,1,2,0.11441523611776018
2013_3,2,2,1,0.14519398529617686
2013_3,2,2,2,0.8548060147038231
2013_4,2,1,1,0.8765399296738927
2013_4,2,1,2,0.12346007032610727
2013_4,2,2,1,0.13847733809392654
2013_4,2,2,2,0.8615226619060735
2014_1,2,1,1,0.8872218741723589
2014_1,2,1,2,0.11277812582764112
2014_1,2,2,1,0.12898438681817082
2014_1,2,2,2,0.8710156131818292
2014_2,2,1,1,0.8931632470457197
2014_2,2,1,2,0.1068367529542803
2014_2,2,2,1,0.12681035251546632
