trim,educ,posicao_inicial,posicao_final,transition
2012_1,1,6,5,251360.05180740356
2012_1,1,6,6,3205142.5022382736
2012_1,1,6,7,0
2012_1,1,6,8,0
2012_1,1,6,9,4013.1306800842285
2012_1,1,6,10,14811.785153388977
2012_1,1,7,1,0
2012_1,1,7,2,0
2012_1,1,7,3,0
2012_1,1,7,4,0
2012_1,1,7,5,0
2012_1,1,7,6,0
2012_1,1,7,7,0
2012_1,1,7,8,0
2012_1,1,7,9,0
2012_1,1,7,10,0
2012_1,1,8,1,0
2012_1,1,8,2,0
2012_1,1,8,3,0
2012_1,1,8,4,0
2012_1,1,8,5,0
2012_1,1,8,6,0
2012_1,1,8,7,0
2012_1,1,8,8,0
2012_1,1,8,9,0
2012_1,1,8,10,0
2012_1,1,9,1,14755.745281219482
2012_1,1,9,2,1846.5666046142578
2012_1,1,9,3,40570.66120147705
2012_1,1,9,4,5353.063690185547
2012_1,1,9,5,745.6257019042969
2012_1,1,9,6,7377.026988983154
2012_1,1,9,7,0
2012_1,1,9,8,0
2012_1,1,9,9,397174.5912361145
2012_1,1,9,10,31099.14121246338
2012_1,1,10,1,10447.620506286621
2012_1,1,10,2,5020.325836181641
2012_1,1,10,3,7764.872993469238
2012_1,1,10,4,15630.22817993164
2012_1,1,10,5,1938.6117706298828
2012_1,1,10,6,10248.980247497559
2012_1,1,10,7,0
2012_1,1,10,8,0
2012_1,1,10,9,28302.6549949646
2012_1,1,10,10,116508.7204322815
2012_2,1,1,1,20267118.54287815
2012_2,1,1,2,407599.15707206726
2012_2,1,1,3,160084.96186065674
2012_2,1,1,4,360769.1588497162
2012_2,1,1,5,61117.25589179993
2012_2,1,1,6,595145.6283884048
2012_2,1,1,7,0
2012_2,1,1,8,0
2012_2,1,1,9,23769.966919898987
2012_2,1,1,10,14774.672286987305
2012_2,1,2,1,397698.9311027527
2012_2,1,2,2,390674.1200466156
2012_2,1,2,3,111409.04817581177
2012_2,1,2,4,164486.65592575073
2012_2,1,2,5,7153.915449142456
2012_2,1,2,6,122915.23225784302
2012_2,1,2,7,0
2012_2,1,2,8,0
2012_2,1,2,9,3081.7193450927734
2012_2,1,2,10,2789.466094970703
2012_2,1,3,1,198381.40143966675
2012_2,1,3,2,109078.22053337097
2012_2,1,3,3,4411094.13495636
2012_2,1,3,4,224756.21722221375
2012_2,1,3,5,29991.88954925537
2012_2,1,3,6,107736.83200836182
2012_2,1,3,7,0
2012_2,1,3,8,0
2012_2,1,3,9,34943.3914604187
2012_2,1,3,10,8903.7691116333
2012_2,1,4,1,323939.3913593292
2012_2,1,4,2,133349.81295013428
2012_2,1,4,3,330100.97403144836
2012_2,1,4,4,1574263.4863681793
2012_2,1,4,5,51033.41541290283
2012_2,1,4,6,343525.8568954468
2012_2,1,4,7,0
2012_2,1,4,8,0
2012_2,1,4,9,6399.637615203857
2012_2,1,4,10,17124.802951812744
2012_2,1,5,1,58894.317947387695
2012_2,1,5,2,7886.993263244629
2012_2,1,5,3,27198.00290298462
2012_2,1,5,4,45362.562507629395
2012_2,1,5,5,590942.7662277222
2012_2,1,5,6,236051.1632194519
2012_2,1,5,7,0
2012_2,1,5,8,0
2012_2,1,5,9,943.2063293457031
2012_2,1,5,10,2175.988540649414
2012_2,1,6,1,634034.8745326996
2012_2,1,6,2,95235.15185928345
2012_2,1,6,3,131747.80045700073
2012_2,1,6,4,388283.1817417145
2012_2,1,6,5,251635.02551078796
2012_2,1,6,6,3397655.6491527557
2012_2,1,6,7,0
2012_2,1,6,8,0
2012_2,1,6,9,9603.75016784668
2012_2,1,6,10,14656.70378112793
2012_2,1,7,1,0
2012_2,1,7,2,0
2012_2,1,7,3,0
2012_2,1,7,4,0
2012_2,1,7,5,0
2012_2,1,7,6,0
2012_2,1,7,7,0
2012_2,1,7,8,0
2012_2,1,7,9,0
2012_2,1,7,10,0
2012_2,1,8,1,0
2012_2,1,8,2,0
2012_2,1,8,3,0
2012_2,1,8,4,0
2012_2,1,8,5,0
2012_2,1,8,6,0
2012_2,1,8,7,0
2012_2,1,8,8,0
2012_2,1,8,9,0
2012_2,1,8,10,0
2012_2,1,9,1,11741.964576721191
2012_2,1,9,2,1258.0137023925781
2012_2,1,9,3,34940.054065704346
2012_2,1,9,4,4704.553321838379
2012_2,1,9,5,1496.2963104248047
2012_2,1,9,6,5159.952903747559
2012_2,1,9,7,0
2012_2,1,9,8,0
2012_2,1,9,9,412169.8854675293
