"","year_quarter","educ","proporcao"
"1","2012_1",1,0.133521132275242
"2","2012_2",1,0.133434655032774
"3","2012_2",1,0.131038683917154
"4","2012_3",1,0.129113929449869
"5","2012_3",1,0.127673942780946
"6","2012_4",1,0.129854871493368
"7","2012_4",1,0.133005273459652
"8","2013_1",1,0.13123589503403
"9","2013_1",1,0.132052947704994
"10","2013_2",1,0.13383842481735
"11","2013_2",1,0.132488186120066
"12","2013_3",1,0.130776446250743
"13","2013_3",1,0.128872126213196
"14","2013_4",1,0.133583638210069
"15","2013_4",1,0.13464569722248
"16","2014_1",1,0.131723433046606
"17","2014_1",1,0.128734201892682
"18","2014_2",1,0.130408317051194
"19","2014_2",1,0.129711308672977
"20","2014_3",1,0.131180229509786
"21","2014_3",1,0.127028935449881
"22","2014_4",1,0.12699181395125
"23","2014_4",1,0.129331523004802
"24","2015_1",1,0.127594654441726
"25","2015_1",1,0.128745452351224
"26","2015_2",1,0.128012249302225
"27","2015_2",1,0.126709048420706
"28","2015_3",1,0.125296857695725
"29","2015_3",1,0.127842639396941
"30","2015_4",1,0.122284519248741
"31","2015_4",1,0.127538330988019
"32","2016_1",1,0.128355933635194
"33","2016_1",1,0.127346615961178
"34","2016_2",1,0.123572028272186
"35","2016_2",1,0.120690262900697
"36","2016_3",1,0.113909475241938
"37","2016_3",1,0.112047542179381
"38","2016_4",1,0.111156325331754
"39","2016_4",1,0.11592829215308
"40","2017_1",1,0.113774359749217
"41","2017_1",1,0.113600072947938
"42","2017_2",1,0.113613800062599
"43","2017_2",1,0.11243435538638
"44","2017_3",1,0.113113304240651
"45","2017_3",1,0.113475317394231
"46","2017_4",1,0.112965809692757
"47","2017_4",1,0.117116825507123
"48","2018_1",1,0.113539390572448
