trim,educ,posicao_inicial,posicao_final,transition
2013_3,1,1,1,0.8258950415677331
2013_3,1,1,2,0.1164456021103271
2013_3,1,1,3,0.04249644916167045
2013_3,1,1,4,0.015162907160269381
2013_3,1,2,1,0.09973254839761901
2013_3,1,2,2,0.7530556166165023
2013_3,1,2,3,0.12243339971450339
2013_3,1,2,4,0.02477843527137531
2013_3,1,3,1,0.00949428773917626
2013_3,1,3,2,0.04592478168550771
2013_3,1,3,3,0.9298155539475292
2013_3,1,3,4,0.014765376627786833
2013_3,1,4,1,0.08764157164218142
2013_3,1,4,2,0.2562597920048982
2013_3,1,4,3,0.3664542232690858
2013_3,1,4,4,0.2896444130838346
2013_4,1,1,1,0.8180284344673572
2013_4,1,1,2,0.11497167782981653
2013_4,1,1,3,0.049391318335933396
2013_4,1,1,4,0.01760856936689285
2013_4,1,2,1,0.09842488650119782
2013_4,1,2,2,0.7364625461851791
2013_4,1,2,3,0.13387281680247828
2013_4,1,2,4,0.031239750511144714
2013_4,1,3,1,0.009287556338602745
2013_4,1,3,2,0.0434283479551978
2013_4,1,3,3,0.9290692691620475
2013_4,1,3,4,0.018214826544152
2013_4,1,4,1,0.09369672768318899
2013_4,1,4,2,0.2256354951024777
2013_4,1,4,3,0.38153048084098184
2013_4,1,4,4,0.29913729637335146
2014_1,1,1,1,0.82075905931981
2014_1,1,1,2,0.11353422575097416
2014_1,1,1,3,0.04801392931803396
2014_1,1,1,4,0.017692785611181903
2014_1,1,2,1,0.10101584323138096
2014_1,1,2,2,0.7468895411639166
2014_1,1,2,3,0.12330725563057483
2014_1,1,2,4,0.02878735997412759
2014_1,1,3,1,0.009457084673694343
2014_1,1,3,2,0.044885603821529015
2014_1,1,3,3,0.9295408587742227
2014_1,1,3,4,0.016116452730553968
2014_1,1,4,1,0.1214365398064729
2014_1,1,4,2,0.2410445697534305
2014_1,1,4,3,0.35535620814452534
2014_1,1,4,4,0.28216268229557123
2014_2,1,1,1,0.8279412541927472
2014_2,1,1,2,0.11138461040934423
2014_2,1,1,3,0.04236075505350878
2014_2,1,1,4,0.018313380344399766
2014_2,1,2,1,0.1008240158531487
2014_2,1,2,2,0.7512057366200168
2014_2,1,2,3,0.12027785661077171
2014_2,1,2,4,0.027692390916062782
2014_2,1,3,1,0.008875477230576696
2014_2,1,3,2,0.04083625947150025
2014_2,1,3,3,0.9332771828536186
2014_2,1,3,4,0.017011080444304463
2014_2,1,4,1,0.1128464734384915
2014_2,1,4,2,0.24554628250185292
2014_2,1,4,3,0.3352934758749663
2014_2,1,4,4,0.3063137681846893
2014_3,1,1,1,0.8323755894888999
2014_3,1,1,2,0.10681073614444557
2014_3,1,1,3,0.04367101214304235
2014_3,1,1,4,0.017142662223612205
2014_3,1,2,1,0.10092023469853635
2014_3,1,2,2,0.7526576653392721
2014_3,1,2,3,0.12054188367655902
2014_3,1,2,4,0.025880216285632522
2014_3,1,3,1,0.00990754633858093
2014_3,1,3,2,0.040852970872081264
2014_3,1,3,3,0.9315209236555773
2014_3,1,3,4,0.017718559133760553
2014_3,1,4,1,0.09076245917714447
2014_3,1,4,2,0.2610625867541617
2014_3,1,4,3,0.32613031298126516
2014_3,1,4,4,0.32204464108742864
2014_4,1,1,1,0.8203580964871948
2014_4,1,1,2,0.1114057580948587
2014_4,1,1,3,0.04777067725592239
2014_4,1,1,4,0.020465468162024072
2014_4,1,2,1,0.10048198750834507
2014_4,1,2,2,0.7387945086666753
2014_4,1,2,3,0.12706952587731227
2014_4,1,2,4,0.03365397794766734
2014_4,1,3,1,0.008549641329122086
2014_4,1,3,2,0.04050575819283302
2014_4,1,3,3,0.9334390557103642
2014_4,1,3,4,0.017505544767680698
2014_4,1,4,1,0.07243565647287308
2014_4,1,4,2,0.2564846815532889
2014_4,1,4,3,0.36352228211700244
2014_4,1,4,4,0.30755737985683557
2015_1,1,1,1,0.8279084990169819
2015_1,1,1,2,0.10820631502226732
2015_1,1,1,3,0.03851921566150992
2015_1,1,1,4,0.025365970299240863
2015_1,1,2,1,0.09835679643291581
2015_1,1,2,2,0.7446908766474499
2015_1,1,2,3,0.11968023911279435
2015_1,1,2,4,0.03727208780683995
2015_1,1,3,1,0.00900630051112013
2015_1,1,3,2,0.039189247693902675
2015_1,1,3,3,0.9328227084602589
2015_1,1,3,4,0.01898174333471827
2015_1,1,4,1,0.08719401260138311
2015_1,1,4,2,0.23800920827474165
2015_1,1,4,3,0.32982016747699333
2015_1,1,4,4,0.3449766116468819
2015_2,1,1,1,0.8313202196830153
2015_2,1,1,2,0.10522226027465482
2015_2,1,1,3,0.040801407371324025
2015_2,1,1,4,0.022656112671005903
2015_2,1,2,1,0.09453848699268264
2015_2,1,2,2,0.7519782669424426
2015_2,1,2,3,0.11238407688073819
2015_2,1,2,4,0.04109916918413655
2015_2,1,3,1,0.008190071106641121
2015_2,1,3,2,0.036450658447818994
2015_2,1,3,3,0.9358973221300203
2015_2,1,3,4,0.019461948315519586
2015_2,1,4,1,0.08307683506305599
2015_2,1,4,2,0.2228407353016803
2015_2,1,4,3,0.3019563066637331
2015_2,1,4,4,0.3921261229715306
2015_3,1,1,1,0.8121257659076278
2015_3,1,1,2,0.11565916300194759
2015_3,1,1,3,0.04864503618656586
2015_3,1,1,4,0.023570034903858825
2015_3,1,2,1,0.11003569958680318
2015_3,1,2,2,0.7081612388189784
2015_3,1,2,3,0.14236246748069117
2015_3,1,2,4,0.03944059411352729
2015_3,1,3,1,0.008272822615007506
2015_3,1,3,2,0.038917354821899765
2015_3,1,3,3,0.930398683339332
2015_3,1,3,4,0.022411139223760746
2015_3,1,4,1,0.08712490292256755
2015_3,1,4,2,0.24069085572163945
2015_3,1,4,3,0.3358552625452471
2015_3,1,4,4,0.33632897881054585
2015_4,1,1,1,0.8024973388874795
